datetime;open;high;low;close
2026-07-04 00:00:00;44.81;44.97;44.1;44.36
2026-07-03 20:00:00;44.3;45.35;44.19;44.82
2026-07-03 16:00:00;43.61;44.42;43.46;44.3
2026-07-03 12:00:00;43.64;43.93;43.24;43.61
2026-07-03 08:00:00;43.23;43.69;43.2;43.63
2026-07-03 04:00:00;43.22;43.42;43.12;43.23
2026-07-03 00:00:00;43.54;43.86;43.1;43.23
2026-07-02 20:00:00;43.41;43.58;43.23;43.54
2026-07-02 16:00:00;43.41;43.82;43.2;43.42
2026-07-02 12:00:00;43.02;43.93;42.91;43.41
2026-07-02 08:00:00;42.71;43.46;42.66;43.02
2026-07-02 04:00:00;43.27;43.28;42.54;42.7
2026-07-02 00:00:00;42.72;43.35;42.42;43.27
2026-07-01 20:00:00;42.48;43.7;42.35;42.71
2026-07-01 16:00:00;42.52;42.76;42.24;42.47
2026-07-01 12:00:00;41.8;42.92;41.14;42.52
2026-07-01 08:00:00;42.21;42.43;41.76;41.79
2026-07-01 04:00:00;42.85;42.94;42.18;42.22
2026-07-01 00:00:00;41.94;42.94;41.36;42.85
2026-06-30 20:00:00;41.85;41.98;41.62;41.93
2026-06-30 16:00:00;41.73;41.98;41.59;41.85
2026-06-30 12:00:00;42.4;42.52;41.59;41.72
2026-06-30 08:00:00;42.6;42.7;42.24;42.41
2026-06-30 04:00:00;42.49;42.86;42.39;42.6
2026-06-30 00:00:00;43.19;43.21;42.44;42.5
2026-06-29 20:00:00;43.41;43.44;43.04;43.2
2026-06-29 16:00:00;42.52;43.43;42.27;43.41
2026-06-29 12:00:00;42.31;42.85;42.12;42.51
2026-06-29 08:00:00;42.65;42.7;42.19;42.31
2026-06-29 04:00:00;43.26;43.29;42.63;42.66
2026-06-29 00:00:00;42.53;43.3;42.35;43.25
2026-06-28 20:00:00;42.55;42.69;42.02;42.53
2026-06-28 16:00:00;42.93;43.13;42.36;42.55
2026-06-28 12:00:00;43.32;43.37;42.8;42.93
2026-06-28 08:00:00;42.53;43.34;42.47;43.33
2026-06-28 04:00:00;42.25;42.54;42.07;42.52
2026-06-28 00:00:00;42.18;42.31;41.9;42.25
2026-06-27 20:00:00;42.32;42.58;41.88;42.17
2026-06-27 16:00:00;43.12;43.3;42.18;42.32
2026-06-27 12:00:00;42.49;43.19;42.46;43.12
2026-06-27 08:00:00;42.44;42.9;42.35;42.49
2026-06-27 04:00:00;42.29;42.53;42.15;42.45
2026-06-27 00:00:00;41.92;42.39;41.71;42.3
2026-06-26 20:00:00;41.69;42.18;41.64;41.91
2026-06-26 16:00:00;41.4;42.04;41.36;41.68
2026-06-26 12:00:00;40.91;41.57;40.14;41.39
2026-06-26 08:00:00;41.89;41.92;40.78;40.91
2026-06-26 04:00:00;41.23;41.96;41.11;41.9
2026-06-26 00:00:00;40.92;41.28;40.03;41.23
2026-06-25 20:00:00;40.72;41.27;40.72;40.92
2026-06-25 16:00:00;40.44;41.1;40.27;40.71
2026-06-25 12:00:00;41.37;41.66;39.28;40.44
2026-06-25 08:00:00;41.76;41.91;41.3;41.36
2026-06-25 04:00:00;41.29;42;41.18;41.76
2026-06-25 00:00:00;41.19;41.33;41.06;41.29
2026-06-24 20:00:00;40.1;41.27;40.01;41.19
2026-06-24 16:00:00;40.72;41.07;39.32;40.1
2026-06-24 12:00:00;42.23;42.29;40.69;40.71
2026-06-24 08:00:00;42.07;42.42;41.8;42.23
2026-06-24 04:00:00;41.78;42.2;41.48;42.07
2026-06-24 00:00:00;42.18;42.36;41.74;41.77
2026-06-23 20:00:00;41.92;42.24;41.84;42.17
2026-06-23 16:00:00;41.95;42.25;41.8;41.91
2026-06-23 12:00:00;43.47;43.53;41.84;41.95
2026-06-23 08:00:00;43.8;43.83;43.09;43.48
2026-06-23 04:00:00;44.6;44.63;43.76;43.8
2026-06-23 00:00:00;44.56;44.68;44.35;44.6
2026-06-22 20:00:00;44.64;44.74;44.29;44.56
2026-06-22 16:00:00;45.15;45.16;44.48;44.64
2026-06-22 12:00:00;45.26;45.84;45.08;45.15
2026-06-22 08:00:00;45;45.3;44.68;45.25
2026-06-22 04:00:00;44.94;45.16;44.82;45
2026-06-22 00:00:00;44.47;45.59;44.47;44.93
2026-06-21 20:00:00;45.27;45.3;44.39;44.47
2026-06-21 16:00:00;45.93;45.95;45.01;45.28
2026-06-21 12:00:00;45.02;46.08;44.89;45.93
2026-06-21 08:00:00;44.83;45.37;44.66;45.01
2026-06-21 04:00:00;44.52;44.92;44.43;44.82
2026-06-21 00:00:00;44.53;44.63;44.44;44.52
2026-06-20 20:00:00;44.13;44.63;44.04;44.53
2026-06-20 16:00:00;44.32;44.39;43.9;44.13
2026-06-20 12:00:00;44.26;44.43;43.77;44.32
2026-06-20 08:00:00;44.15;44.33;44.02;44.26
2026-06-20 04:00:00;43.92;44.39;43.84;44.15
2026-06-20 00:00:00;44.06;44.17;43.8;43.92
2026-06-19 20:00:00;43.94;44.17;43.73;44.07
2026-06-19 16:00:00;44.45;44.59;43.88;43.94
2026-06-19 12:00:00;43.49;44.47;43.34;44.45
2026-06-19 08:00:00;43.46;43.61;43.26;43.49
2026-06-19 04:00:00;43.6;43.69;43.19;43.46
2026-06-19 00:00:00;43.85;44.04;43.4;43.59
2026-06-18 20:00:00;43.52;43.88;43.52;43.86
2026-06-18 16:00:00;43.09;43.58;43.07;43.52
2026-06-18 12:00:00;44.02;44.28;42.99;43.1
2026-06-18 08:00:00;44.52;44.6;43.94;44.02
2026-06-18 04:00:00;44.49;44.6;44.09;44.52
2026-06-18 00:00:00;44.93;45.05;44.43;44.49
2026-06-17 20:00:00;44.81;45.08;44.38;44.92
2026-06-17 16:00:00;45.69;45.95;44.59;44.81
2026-06-17 12:00:00;45.08;45.73;44.9;45.69
2026-06-17 08:00:00;45.55;45.61;44.89;45.08
2026-06-17 04:00:00;45.7;45.91;45.42;45.55
2026-06-17 00:00:00;45.69;45.98;45.41;45.7
2026-06-16 20:00:00;45.47;46.07;45.37;45.69
2026-06-16 16:00:00;44.92;45.8;44.87;45.47
2026-06-16 12:00:00;45.53;45.76;44.41;44.92
2026-06-16 08:00:00;45.82;46.36;45.36;45.53
2026-06-16 04:00:00;45.85;45.86;45.39;45.81
2026-06-16 00:00:00;45.75;45.99;45.3;45.85
2026-06-15 20:00:00;45.66;45.87;45.46;45.76
2026-06-15 16:00:00;46.09;46.25;45.41;45.65
2026-06-15 12:00:00;45.81;46.29;45.27;46.09
2026-06-15 08:00:00;45.09;46.15;44.77;45.81
2026-06-15 04:00:00;45.31;45.57;45.07;45.09
2026-06-15 00:00:00;45.4;45.47;45.02;45.32
2026-06-14 20:00:00;44.21;45.44;44.16;45.41
2026-06-14 16:00:00;44.03;44.27;43.89;44.21
2026-06-14 12:00:00;44.08;44.12;43.73;44.03
2026-06-14 08:00:00;44.07;44.33;43.97;44.08
2026-06-14 04:00:00;44.45;44.48;43.9;44.07
2026-06-14 00:00:00;44.34;44.69;44.23;44.46
2026-06-13 20:00:00;43.81;44.4;43.72;44.33
2026-06-13 16:00:00;44.06;44.08;43.56;43.81
2026-06-13 12:00:00;43.78;44.14;43.76;44.06
2026-06-13 08:00:00;43.5;43.92;43.43;43.78
2026-06-13 04:00:00;43.36;43.55;43.02;43.5
2026-06-13 00:00:00;43.07;43.54;42.95;43.37
2026-06-12 20:00:00;42.99;43.09;42.85;43.07
2026-06-12 16:00:00;42.85;43.26;42.73;42.99
2026-06-12 12:00:00;43.02;43.54;42.69;42.85
2026-06-12 08:00:00;42.59;43.2;42.59;43.03
2026-06-12 04:00:00;42.67;42.8;42.19;42.59
2026-06-12 00:00:00;42.47;42.76;42.39;42.66
2026-06-11 20:00:00;42.63;42.8;42.36;42.47
2026-06-11 16:00:00;42.11;42.95;41.98;42.63
2026-06-11 12:00:00;42.65;42.72;41.91;42.11
2026-06-11 08:00:00;42.55;42.82;42.45;42.66
2026-06-11 04:00:00;42.79;42.87;42.47;42.55
2026-06-11 00:00:00;41.73;42.92;41.72;42.79
2026-06-10 20:00:00;41.63;41.83;41.25;41.74
2026-06-10 16:00:00;42.85;42.85;41.53;41.63
2026-06-10 12:00:00;42.1;43.11;41.99;42.86
2026-06-10 08:00:00;42.57;42.58;41.86;42.1
2026-06-10 04:00:00;42.67;42.77;42.27;42.56
2026-06-10 00:00:00;43.02;43.24;42.42;42.68
2026-06-09 20:00:00;43.41;43.5;42.87;43.03
2026-06-09 16:00:00;41.97;43.5;41.81;43.4
2026-06-09 12:00:00;42.49;42.83;41.96;41.98
2026-06-09 08:00:00;42.9;42.92;42.27;42.5
2026-06-09 04:00:00;42.51;43.09;42.45;42.9
2026-06-09 00:00:00;43.03;43.17;42.22;42.51
2026-06-08 20:00:00;43.41;43.82;42.98;43.03
2026-06-08 16:00:00;43.13;43.58;42.89;43.4
2026-06-08 12:00:00;43.15;43.53;42.8;43.13
2026-06-08 08:00:00;42.85;43.31;42.44;43.15
2026-06-08 04:00:00;42.53;42.91;42.1;42.84
2026-06-08 00:00:00;42.82;43.15;42.04;42.53
2026-06-07 20:00:00;41.36;43.46;41.26;42.83
2026-06-07 16:00:00;42.09;42.2;41.1;41.37
2026-06-07 12:00:00;42.38;42.47;41.53;42.1
2026-06-07 08:00:00;41.93;42.71;41.69;42.37
2026-06-07 04:00:00;41.94;42.24;41.27;41.94
2026-06-07 00:00:00;41.4;42.21;41.15;41.94
2026-06-06 20:00:00;41.15;41.89;40.8;41.39
2026-06-06 16:00:00;42.35;42.54;40.94;41.15
2026-06-06 12:00:00;42.79;43.05;42;42.35
2026-06-06 08:00:00;42.83;43.53;42.14;42.79
2026-06-06 04:00:00;42.67;42.94;40.52;42.82
2026-06-06 00:00:00;43.32;44.03;42.63;42.68
2026-06-05 20:00:00;43.02;44.03;42.54;43.32
2026-06-05 16:00:00;43.2;44.21;41.94;43.03
2026-06-05 12:00:00;44.05;44.59;42.7;43.2
2026-06-05 08:00:00;44.19;44.65;43.67;44.06
2026-06-05 04:00:00;44.86;45.48;42.66;44.19
2026-06-05 00:00:00;45.64;45.85;44.63;44.86
2026-06-04 20:00:00;46.29;46.31;45.1;45.64
2026-06-04 16:00:00;46.36;46.66;45.81;46.29
2026-06-04 12:00:00;45.63;46.92;45.5;46.36
2026-06-04 08:00:00;46.22;46.54;45.07;45.63
2026-06-04 04:00:00;46.82;46.97;46.03;46.21
2026-06-04 00:00:00;47.13;47.48;43.9;46.82
2026-06-03 20:00:00;47.3;48.02;46.87;47.14
2026-06-03 16:00:00;47.66;47.82;47.11;47.3
2026-06-03 12:00:00;48.21;48.31;47.57;47.65
2026-06-03 08:00:00;48.39;48.55;48;48.21
2026-06-03 04:00:00;47.04;48.56;47.04;48.4
2026-06-03 00:00:00;46.91;47.77;46.82;47.04
2026-06-02 20:00:00;48.11;48.52;46.3;46.91
2026-06-02 16:00:00;47.81;48.57;47.37;48.11
2026-06-02 12:00:00;49.36;49.58;47.47;47.82
2026-06-02 08:00:00;49.45;49.67;49.15;49.36
2026-06-02 04:00:00;50.27;50.32;49.13;49.45
2026-06-02 00:00:00;50.79;50.84;49.87;50.27
2026-06-01 20:00:00;50.88;51.01;50.48;50.79
2026-06-01 16:00:00;50.4;51.07;50.1;50.88
2026-06-01 12:00:00;51.01;51.18;50.11;50.4
2026-06-01 08:00:00;51;51.44;50.81;51
2026-06-01 04:00:00;51.99;52.05;51;51
2026-06-01 00:00:00;52.08;52.29;51.41;51.98
2026-05-31 20:00:00;51.64;52.33;51.64;52.07
2026-05-31 16:00:00;51.95;51.98;51.39;51.64
2026-05-31 12:00:00;52.33;52.62;51.74;51.94
2026-05-31 08:00:00;52.32;52.58;52.25;52.32
2026-05-31 04:00:00;52.65;52.74;52.23;52.33
2026-05-31 00:00:00;52.46;52.76;52.38;52.66
2026-05-30 20:00:00;52.52;52.62;52.32;52.45
2026-05-30 16:00:00;52.4;52.56;52.2;52.52
2026-05-30 12:00:00;52.51;52.78;52.32;52.39
2026-05-30 08:00:00;52.45;52.75;52.41;52.51
2026-05-30 04:00:00;52.46;52.5;52.1;52.45
2026-05-30 00:00:00;51.9;52.55;51.83;52.46
2026-05-29 20:00:00;51.91;52.08;51.68;51.89
2026-05-29 16:00:00;52.2;52.34;51.51;51.91
2026-05-29 12:00:00;51.67;52.33;51.16;52.2
2026-05-29 08:00:00;51.72;51.9;51.55;51.67
2026-05-29 04:00:00;51.68;52;51.34;51.72
2026-05-29 00:00:00;51.67;51.85;51.55;51.67
2026-05-28 20:00:00;51.75;52.09;51.62;51.67
2026-05-28 16:00:00;51.42;52.14;51.27;51.76
2026-05-28 12:00:00;50.74;51.44;50.54;51.42
2026-05-28 08:00:00;50.86;51.03;50.64;50.74
2026-05-28 04:00:00;51.03;51.03;50.33;50.85
2026-05-28 00:00:00;51.96;52.12;50.91;51.03
2026-05-27 20:00:00;52.46;52.56;51.67;51.97
2026-05-27 16:00:00;52.67;52.73;51.97;52.46
