datetime;open;high;low;close
2026-07-04 00:00:00;44.81;44.88;44.8;44.87
2026-07-03 23:55:00;44.85;44.85;44.82;44.82
2026-07-03 23:50:00;44.81;44.84;44.8;44.84
2026-07-03 23:45:00;44.83;44.88;44.8;44.81
2026-07-03 23:40:00;44.85;44.89;44.82;44.82
2026-07-03 23:35:00;44.82;44.87;44.81;44.85
2026-07-03 23:30:00;44.85;44.86;44.8;44.82
2026-07-03 23:25:00;44.83;44.85;44.75;44.85
2026-07-03 23:20:00;44.85;44.89;44.82;44.83
2026-07-03 23:15:00;44.83;44.89;44.81;44.84
2026-07-03 23:10:00;44.85;44.86;44.82;44.84
2026-07-03 23:05:00;44.89;44.9;44.84;44.85
2026-07-03 23:00:00;44.92;44.94;44.88;44.89
2026-07-03 22:55:00;44.82;44.93;44.8;44.93
2026-07-03 22:50:00;44.81;44.82;44.76;44.82
2026-07-03 22:45:00;44.83;44.87;44.81;44.82
2026-07-03 22:40:00;44.84;44.86;44.82;44.82
2026-07-03 22:35:00;44.89;44.9;44.82;44.84
2026-07-03 22:30:00;44.92;44.94;44.83;44.89
2026-07-03 22:25:00;44.92;44.95;44.89;44.92
2026-07-03 22:20:00;45.09;45.1;44.88;44.92
2026-07-03 22:15:00;45.07;45.12;45.07;45.09
2026-07-03 22:10:00;45.06;45.08;45.02;45.08
2026-07-03 22:05:00;45.14;45.15;45.06;45.07
2026-07-03 22:00:00;45.28;45.31;45.14;45.15
2026-07-03 21:55:00;45.25;45.33;45.25;45.28
2026-07-03 21:50:00;45.07;45.27;45.06;45.25
2026-07-03 21:45:00;45.01;45.09;44.96;45.06
2026-07-03 21:40:00;44.96;45.02;44.94;45.01
2026-07-03 21:35:00;44.9;44.97;44.85;44.97
2026-07-03 21:30:00;45.08;45.08;44.9;44.9
2026-07-03 21:25:00;45.05;45.08;45.05;45.08
2026-07-03 21:20:00;45.11;45.12;45.03;45.05
2026-07-03 21:15:00;45.25;45.27;45.08;45.11
2026-07-03 21:10:00;45.19;45.31;45.16;45.25
2026-07-03 21:05:00;45.29;45.29;45.17;45.18
2026-07-03 21:00:00;45.21;45.35;45.21;45.29
2026-07-03 20:55:00;45.26;45.26;45.07;45.22
2026-07-03 20:50:00;45.2;45.31;45.16;45.26
2026-07-03 20:45:00;45.17;45.35;45.14;45.2
2026-07-03 20:40:00;44.96;45.19;44.9;45.17
2026-07-03 20:35:00;44.85;45.05;44.84;44.96
2026-07-03 20:30:00;44.84;44.86;44.75;44.85
2026-07-03 20:25:00;44.69;44.93;44.69;44.84
2026-07-03 20:20:00;44.65;44.7;44.63;44.69
2026-07-03 20:15:00;44.46;44.67;44.44;44.65
2026-07-03 20:10:00;44.35;44.46;44.35;44.45
