datetime;open;high;low;close
2026-07-04 00:00:00;82.28;82.76;81.73;82.66
2026-07-03 20:00:00;82.4;82.96;82.07;82.28
2026-07-03 16:00:00;81.14;83.14;81;82.4
2026-07-03 12:00:00;81.47;81.98;80.84;81.14
2026-07-03 08:00:00;81.15;81.78;80.59;81.47
2026-07-03 04:00:00;80.63;81.42;80.39;81.15
2026-07-03 00:00:00;80.62;81.6;80.25;80.63
2026-07-02 20:00:00;80.75;81.11;80.32;80.63
2026-07-02 16:00:00;80.78;81.22;80.08;80.75
2026-07-02 12:00:00;82.28;82.36;79.98;80.77
2026-07-02 08:00:00;77.9;82.68;77.85;82.28
2026-07-02 04:00:00;78.63;78.63;77.5;77.88
2026-07-02 00:00:00;77.38;78.89;76.82;78.62
2026-07-01 20:00:00;76.93;78.87;76.52;77.38
2026-07-01 16:00:00;77.36;78.15;76.73;76.93
2026-07-01 12:00:00;74.75;77.73;74.18;77.36
2026-07-01 08:00:00;74.77;75.48;74.36;74.74
2026-07-01 04:00:00;75.37;75.76;73.83;74.78
2026-07-01 00:00:00;73.54;75.57;72.16;75.37
2026-06-30 20:00:00;73.61;73.81;73.06;73.55
2026-06-30 16:00:00;73.01;73.85;72.6;73.62
2026-06-30 12:00:00;73.28;73.96;71.77;73.01
2026-06-30 08:00:00;74.03;74.1;73.17;73.28
2026-06-30 04:00:00;74.07;74.14;73.55;74.04
2026-06-30 00:00:00;75.05;75.12;73.86;74.07
2026-06-29 20:00:00;75.86;75.88;74.8;75.05
2026-06-29 16:00:00;73.79;76.33;72.77;75.86
2026-06-29 12:00:00;72.42;74.42;72.02;73.78
2026-06-29 08:00:00;72.59;73.57;72.14;72.42
2026-06-29 04:00:00;72.56;72.99;70.91;72.61
2026-06-29 00:00:00;71.28;73.19;70.24;72.56
2026-06-28 20:00:00;70.61;71.65;69.64;71.28
2026-06-28 16:00:00;71.99;72.02;70.17;70.6
2026-06-28 12:00:00;71.81;72.27;71.24;71.98
2026-06-28 08:00:00;70.98;72.08;70.95;71.82
2026-06-28 04:00:00;70.77;70.99;70.05;70.97
2026-06-28 00:00:00;70.39;70.92;70.34;70.76
2026-06-27 20:00:00;70.99;71.53;70.11;70.39
2026-06-27 16:00:00;72.72;72.89;70.84;71
2026-06-27 12:00:00;71.69;73.07;71.54;72.71
2026-06-27 08:00:00;72.2;72.21;71.42;71.7
2026-06-27 04:00:00;72.15;72.48;71.39;72.2
2026-06-27 00:00:00;71.8;72.36;71.25;72.15
2026-06-26 20:00:00;72.94;73.57;71.33;71.79
2026-06-26 16:00:00;71.98;73.82;71.91;72.89
2026-06-26 12:00:00;68.51;72.14;68.09;71.96
2026-06-26 08:00:00;70.67;70.77;68.28;68.5
2026-06-26 04:00:00;68.11;70.87;67.84;70.66
2026-06-26 00:00:00;67.62;68.4;65.82;68.1
2026-06-25 20:00:00;66.12;68.69;65.98;67.61
2026-06-25 16:00:00;66.23;67.25;65.56;66.11
2026-06-25 12:00:00;68.08;68.79;63.94;66.22
2026-06-25 08:00:00;69.34;69.34;67.91;68.08
2026-06-25 04:00:00;67.6;69.55;67.38;69.34
2026-06-25 00:00:00;68;68.22;67.28;67.57
2026-06-24 20:00:00;66.02;68.44;65.87;68.01
2026-06-24 16:00:00;67.23;67.92;64.62;66.02
2026-06-24 12:00:00;69.73;69.82;67.15;67.22
2026-06-24 08:00:00;69.29;70.33;68.69;69.72
2026-06-24 04:00:00;69.5;70.13;68.92;69.29
2026-06-24 00:00:00;69.6;70.33;69.01;69.48
2026-06-23 20:00:00;68.75;69.75;68.75;69.6
2026-06-23 16:00:00;68.82;69.32;68.55;68.76
2026-06-23 12:00:00;69.23;69.6;68.3;68.83
2026-06-23 08:00:00;69.93;70.03;68.08;69.22
2026-06-23 04:00:00;71.91;71.93;69.6;69.92
2026-06-23 00:00:00;71.87;71.97;71.23;71.91
2026-06-22 20:00:00;72.62;72.88;71.33;71.88
2026-06-22 16:00:00;73.07;73.49;72.38;72.62
2026-06-22 12:00:00;74.11;74.92;72.9;73.07
2026-06-22 08:00:00;74.02;74.36;73.49;74.1
2026-06-22 04:00:00;73.43;74.39;73.27;74.02
2026-06-22 00:00:00;72.37;74.89;72.37;73.43
2026-06-21 20:00:00;74.33;74.46;72.22;72.38
2026-06-21 16:00:00;74.04;74.58;73.71;74.33
2026-06-21 12:00:00;73.09;74.21;72.84;74.06
2026-06-21 08:00:00;73.12;74.3;72.65;73.09
2026-06-21 04:00:00;73.55;73.75;72.93;73.12
2026-06-21 00:00:00;73.16;73.78;72.8;73.55
2026-06-20 20:00:00;71.78;74.21;71.63;73.14
2026-06-20 16:00:00;71.96;71.99;71.01;71.78
2026-06-20 12:00:00;71.71;72.54;70.4;71.95
2026-06-20 08:00:00;71.52;72.01;71.15;71.71
2026-06-20 04:00:00;69.94;72.39;69.83;71.51
2026-06-20 00:00:00;69.67;70.06;69.43;69.93
2026-06-19 20:00:00;68.91;69.8;68.66;69.68
2026-06-19 16:00:00;69.27;69.5;68.57;68.89
2026-06-19 12:00:00;68.19;69.5;67.86;69.26
2026-06-19 08:00:00;68.3;68.68;67.99;68.19
2026-06-19 04:00:00;68.98;69.2;67.86;68.31
2026-06-19 00:00:00;69.63;70;68.57;68.98
2026-06-18 20:00:00;69.3;69.87;69.18;69.63
2026-06-18 16:00:00;68.35;69.44;68.12;69.32
2026-06-18 12:00:00;70.87;71.73;68.28;68.36
2026-06-18 08:00:00;71.69;72.09;70.66;70.86
2026-06-18 04:00:00;71.58;71.77;70.57;71.7
2026-06-18 00:00:00;71.99;72.61;71.47;71.58
2026-06-17 20:00:00;71.61;72.18;70.72;71.98
2026-06-17 16:00:00;73.75;74.62;71.37;71.6
2026-06-17 12:00:00;71.97;73.81;71.54;73.76
2026-06-17 08:00:00;73.19;73.23;71.65;71.97
2026-06-17 04:00:00;73.63;74.04;72.85;73.2
2026-06-17 00:00:00;73.46;74.39;73.1;73.63
2026-06-16 20:00:00;73.78;74.18;73.34;73.46
2026-06-16 16:00:00;73.22;74.27;72.93;73.79
2026-06-16 12:00:00;74.61;75.48;72.27;73.23
2026-06-16 08:00:00;74.4;75.59;74.3;74.59
2026-06-16 04:00:00;73.69;74.49;73.15;74.43
2026-06-16 00:00:00;73.93;74.35;72.74;73.69
2026-06-15 20:00:00;75.2;75.41;73.58;73.93
2026-06-15 16:00:00;75.2;76.05;74.55;75.23
2026-06-15 12:00:00;72.57;75.23;72.27;75.23
2026-06-15 08:00:00;71.24;72.79;70.76;72.57
2026-06-15 04:00:00;71.19;71.47;70.77;71.23
2026-06-15 00:00:00;71.24;71.68;70.65;71.21
2026-06-14 20:00:00;67.53;71.24;67.41;71.24
2026-06-14 16:00:00;67.39;67.71;67.16;67.52
2026-06-14 12:00:00;68.07;68.13;66.92;67.39
2026-06-14 08:00:00;68.2;68.48;67.83;68.06
2026-06-14 04:00:00;68.92;68.99;67.98;68.19
2026-06-14 00:00:00;68.9;69.07;68.62;68.93
2026-06-13 20:00:00;68.2;69.53;68.01;68.9
2026-06-13 16:00:00;68.57;68.59;67.79;68.2
2026-06-13 12:00:00;67.88;68.69;67.74;68.57
2026-06-13 08:00:00;67.32;67.93;67.22;67.87
2026-06-13 04:00:00;66.85;67.43;66.56;67.33
2026-06-13 00:00:00;66.77;67.48;66.67;66.84
2026-06-12 20:00:00;66.77;66.91;66.43;66.79
2026-06-12 16:00:00;67.22;68.18;66.65;66.77
2026-06-12 12:00:00;66.83;68.76;66.3;67.22
2026-06-12 08:00:00;66.24;67.41;66.23;66.85
2026-06-12 04:00:00;66.95;67.16;65.84;66.23
2026-06-12 00:00:00;66.86;67.21;66.32;66.94
2026-06-11 20:00:00;66.87;67.08;66.3;66.85
2026-06-11 16:00:00;65.49;67.32;64.96;66.87
2026-06-11 12:00:00;65.82;65.86;64.83;65.48
2026-06-11 08:00:00;64.97;66.12;64.95;65.82
2026-06-11 04:00:00;65.18;65.36;64.71;64.97
2026-06-11 00:00:00;63.14;65.4;63.13;65.17
2026-06-10 20:00:00;63.48;63.59;62.28;63.13
2026-06-10 16:00:00;65.39;65.42;63.31;63.49
2026-06-10 12:00:00;63.47;65.71;63.27;65.39
2026-06-10 08:00:00;64.45;64.47;62.91;63.45
2026-06-10 04:00:00;64.47;64.72;63.78;64.45
2026-06-10 00:00:00;64.93;65.26;64.2;64.47
2026-06-09 20:00:00;65.36;65.65;64.65;64.92
2026-06-09 16:00:00;64.28;65.63;63.46;65.36
2026-06-09 12:00:00;66.08;66.49;64.21;64.28
2026-06-09 08:00:00;66.86;66.9;65.87;66.09
2026-06-09 04:00:00;65.99;67.43;65.8;66.86
2026-06-09 00:00:00;66.8;66.87;65.27;65.99
2026-06-08 20:00:00;67.44;68.16;66.63;66.81
2026-06-08 16:00:00;67.15;67.8;66.52;67.45
2026-06-08 12:00:00;66.64;67.8;65.95;67.14
2026-06-08 08:00:00;66.03;67.02;65.4;66.62
2026-06-08 04:00:00;66.34;66.38;64.91;66.06
2026-06-08 00:00:00;66.47;67.08;65.37;66.33
2026-06-07 20:00:00;63.92;67.9;63.72;66.46
2026-06-07 16:00:00;64.95;65.59;63.62;63.92
2026-06-07 12:00:00;65.01;65.32;63.64;64.95
2026-06-07 08:00:00;64.88;66.09;64.41;65.01
2026-06-07 04:00:00;63.8;65;63.27;64.9
2026-06-07 00:00:00;62.17;64.44;61.91;63.81
2026-06-06 20:00:00;61.6;62.32;61.34;62.15
2026-06-06 16:00:00;62.01;62.37;61.35;61.61
2026-06-06 12:00:00;62.42;63.06;61.28;62.02
2026-06-06 08:00:00;62.75;63.55;61.17;62.41
2026-06-06 04:00:00;62.82;63.3;60.11;62.76
2026-06-06 00:00:00;63.63;64.83;62.54;62.81
2026-06-05 20:00:00;63.4;65.38;62.64;63.62
