datetime;open;high;low;close
2026-07-04 00:00:00;82.28;82.33;82.18;82.32
2026-07-03 23:55:00;82.25;82.29;82.25;82.28
2026-07-03 23:50:00;82.26;82.3;82.23;82.25
2026-07-03 23:45:00;82.34;82.38;82.27;82.27
2026-07-03 23:40:00;82.37;82.41;82.34;82.34
2026-07-03 23:35:00;82.24;82.37;82.24;82.37
2026-07-03 23:30:00;82.17;82.31;82.17;82.24
2026-07-03 23:25:00;82.22;82.23;82.1;82.18
2026-07-03 23:20:00;82.21;82.29;82.2;82.21
2026-07-03 23:15:00;82.14;82.28;82.12;82.2
2026-07-03 23:10:00;82.17;82.2;82.13;82.15
2026-07-03 23:05:00;82.27;82.29;82.07;82.15
2026-07-03 23:00:00;82.27;82.32;82.22;82.28
2026-07-03 22:55:00;82.21;82.32;82.19;82.28
2026-07-03 22:50:00;82.2;82.25;82.2;82.2
2026-07-03 22:45:00;82.37;82.37;82.18;82.21
2026-07-03 22:40:00;82.26;82.37;82.21;82.36
2026-07-03 22:35:00;82.3;82.35;82.26;82.27
2026-07-03 22:30:00;82.33;82.35;82.19;82.29
2026-07-03 22:25:00;82.42;82.49;82.3;82.34
2026-07-03 22:20:00;82.43;82.47;82.36;82.42
2026-07-03 22:15:00;82.3;82.47;82.28;82.44
2026-07-03 22:10:00;82.34;82.37;82.28;82.29
2026-07-03 22:05:00;82.45;82.46;82.28;82.34
2026-07-03 22:00:00;82.57;82.61;82.44;82.45
2026-07-03 21:55:00;82.71;82.74;82.55;82.57
2026-07-03 21:50:00;82.56;82.77;82.51;82.69
2026-07-03 21:45:00;82.29;82.6;82.29;82.57
2026-07-03 21:40:00;82.22;82.31;82.09;82.28
2026-07-03 21:35:00;82.28;82.38;82.2;82.23
2026-07-03 21:30:00;82.3;82.33;82.17;82.26
2026-07-03 21:25:00;82.42;82.45;82.25;82.3
2026-07-03 21:20:00;82.46;82.48;82.37;82.42
2026-07-03 21:15:00;82.57;82.64;82.4;82.44
2026-07-03 21:10:00;82.67;82.96;82.54;82.57
2026-07-03 21:05:00;82.71;82.78;82.62;82.67
2026-07-03 21:00:00;82.64;82.79;82.62;82.72
2026-07-03 20:55:00;82.73;82.73;82.57;82.62
2026-07-03 20:50:00;82.7;82.77;82.62;82.73
2026-07-03 20:45:00;82.69;82.9;82.63;82.7
2026-07-03 20:40:00;82.52;82.7;82.45;82.68
2026-07-03 20:35:00;82.42;82.9;82.39;82.53
2026-07-03 20:30:00;82.47;82.52;82.28;82.42
2026-07-03 20:25:00;82.43;82.63;82.42;82.48
2026-07-03 20:20:00;82.42;82.52;82.31;82.42
2026-07-03 20:15:00;82.38;82.56;82.22;82.43
2026-07-03 20:10:00;82.49;82.5;82.28;82.38
2026-07-03 20:05:00;82.29;82.64;82.16;82.49
2026-07-03 20:00:00;82.4;82.42;82.26;82.3
2026-07-03 19:55:00;82.44;82.49;82.36;82.4
2026-07-03 19:50:00;82.55;82.59;82.4;82.43
2026-07-03 19:45:00;82.7;82.7;82.51;82.56
2026-07-03 19:40:00;82.9;83.05;82.7;82.7
2026-07-03 19:35:00;82.27;83.14;82.14;82.9
2026-07-03 19:30:00;82.25;82.42;82.12;82.28
2026-07-03 19:25:00;82.22;82.26;82.13;82.26
2026-07-03 19:20:00;82.21;82.24;82.15;82.21
2026-07-03 19:15:00;82.03;82.32;82.03;82.21
2026-07-03 19:10:00;82.14;82.15;82.01;82.03
2026-07-03 19:05:00;82.1;82.15;82;82.15
2026-07-03 19:00:00;82.04;82.24;82.01;82.11
2026-07-03 18:55:00;81.91;82.29;81.89;82.04
2026-07-03 18:50:00;81.87;81.93;81.79;81.92
2026-07-03 18:45:00;81.9;81.92;81.81;81.86
2026-07-03 18:40:00;81.77;81.9;81.75;81.9
2026-07-03 18:35:00;81.75;81.86;81.75;81.77
2026-07-03 18:30:00;81.7;81.77;81.68;81.76
2026-07-03 18:25:00;81.75;81.75;81.67;81.71
2026-07-03 18:20:00;81.74;81.83;81.72;81.75
2026-07-03 18:15:00;81.63;81.77;81.63;81.74
2026-07-03 18:10:00;81.59;81.68;81.57;81.63
2026-07-03 18:05:00;81.59;81.67;81.57;81.58
2026-07-03 18:00:00;81.71;81.76;81.57;81.59
2026-07-03 17:55:00;81.72;81.74;81.62;81.71
2026-07-03 17:50:00;81.57;81.73;81.56;81.72
2026-07-03 17:45:00;81.62;81.67;81.57;81.57
2026-07-03 17:40:00;81.59;81.69;81.51;81.61
2026-07-03 17:35:00;81.68;81.79;81.59;81.6
2026-07-03 17:30:00;81.71;81.71;81.58;81.67
2026-07-03 17:25:00;81.65;81.77;81.63;81.71
2026-07-03 17:20:00;81.71;81.89;81.63;81.65
2026-07-03 17:15:00;81.56;81.71;81.55;81.71
2026-07-03 17:10:00;81.62;81.66;81.56;81.56
2026-07-03 17:05:00;81.49;81.66;81.47;81.62
2026-07-03 17:00:00;81.47;81.5;81.39;81.5
2026-07-03 16:55:00;81.43;81.49;81.42;81.46
2026-07-03 16:50:00;81.28;81.46;81.23;81.43
2026-07-03 16:45:00;81.38;81.4;81.28;81.28
2026-07-03 16:40:00;81.29;81.39;81.27;81.38
2026-07-03 16:35:00;81.22;81.31;81.22;81.29
2026-07-03 16:30:00;81.27;81.36;81.1;81.21
2026-07-03 16:25:00;81.28;81.32;81.18;81.27
2026-07-03 16:20:00;81.26;81.35;81.18;81.28
2026-07-03 16:15:00;81.13;81.28;81.1;81.26
2026-07-03 16:10:00;81.23;81.25;81.09;81.12
2026-07-03 16:05:00;81.19;81.3;81.19;81.23
2026-07-03 16:00:00;81.14;81.24;81;81.19
2026-07-03 15:55:00;81.22;81.22;81.07;81.14
2026-07-03 15:50:00;81.13;81.26;81.08;81.22
2026-07-03 15:45:00;81.16;81.22;81.1;81.13
2026-07-03 15:40:00;81.19;81.24;81.07;81.16
2026-07-03 15:35:00;81.19;81.3;81.18;81.2
2026-07-03 15:30:00;81.19;81.29;81.17;81.18
2026-07-03 15:25:00;81.23;81.34;81.18;81.19
2026-07-03 15:20:00;81.51;81.53;81.16;81.21
2026-07-03 15:15:00;81.53;81.58;81.34;81.52
2026-07-03 15:10:00;81.82;81.85;81.53;81.54
2026-07-03 15:05:00;81.54;81.98;81.52;81.82
2026-07-03 15:00:00;81.62;81.74;81.52;81.54
2026-07-03 14:55:00;81.71;81.71;81.59;81.6
2026-07-03 14:50:00;81.44;81.73;81.42;81.72
2026-07-03 14:45:00;81.47;81.59;81.37;81.44
2026-07-03 14:40:00;81.24;81.5;81.24;81.48
2026-07-03 14:35:00;81.22;81.31;81.18;81.24
2026-07-03 14:30:00;81.2;81.37;81.16;81.22
2026-07-03 14:25:00;81.02;81.2;81.01;81.2
2026-07-03 14:20:00;81.02;81.09;80.84;81.02
2026-07-03 14:15:00;80.97;81.18;80.96;81.02
2026-07-03 14:10:00;81.39;81.39;80.86;80.96
2026-07-03 14:05:00;81.35;81.41;81.28;81.38
2026-07-03 14:00:00;81.52;81.52;81.21;81.34
2026-07-03 13:55:00;81.58;81.64;81.51;81.53
2026-07-03 13:50:00;81.44;81.75;81.44;81.59
2026-07-03 13:45:00;81.56;81.58;81.39;81.42
2026-07-03 13:40:00;81.43;81.62;81.4;81.57
2026-07-03 13:35:00;81.43;81.48;81.36;81.43
2026-07-03 13:30:00;81.58;81.62;81.43;81.43
2026-07-03 13:25:00;81.4;81.58;81.35;81.57
2026-07-03 13:20:00;81.5;81.6;81.36;81.39
2026-07-03 13:15:00;81.53;81.63;81.48;81.49
2026-07-03 13:10:00;81.52;81.61;81.51;81.53
2026-07-03 13:05:00;81.53;81.6;81.43;81.53
2026-07-03 13:00:00;81.44;81.52;81.41;81.52
2026-07-03 12:55:00;81.42;81.46;81.38;81.44
2026-07-03 12:50:00;81.34;81.45;81.31;81.41
2026-07-03 12:45:00;81.28;81.36;81.28;81.34
2026-07-03 12:40:00;81.18;81.32;81.18;81.27
2026-07-03 12:35:00;81.31;81.31;81.15;81.18
2026-07-03 12:30:00;81.23;81.32;81.16;81.31
2026-07-03 12:25:00;81.23;81.29;81.17;81.23
2026-07-03 12:20:00;81.18;81.25;81.12;81.25
2026-07-03 12:15:00;81.44;81.44;81.16;81.17
2026-07-03 12:10:00;81.41;81.52;81.39;81.45
2026-07-03 12:05:00;81.58;81.59;81.36;81.41
2026-07-03 12:00:00;81.47;81.69;81.46;81.58
2026-07-03 11:55:00;81.55;81.58;81.42;81.47
2026-07-03 11:50:00;81.42;81.57;81.41;81.56
2026-07-03 11:45:00;81.24;81.44;81.24;81.43
2026-07-03 11:40:00;81.23;81.26;81.14;81.24
2026-07-03 11:35:00;81.34;81.34;81.22;81.22
2026-07-03 11:30:00;81.3;81.36;81.24;81.34
2026-07-03 11:25:00;81.45;81.45;81.26;81.29
2026-07-03 11:20:00;81.33;81.48;81.33;81.44
2026-07-03 11:15:00;81.45;81.55;81.3;81.33
2026-07-03 11:10:00;81.52;81.6;81.38;81.44
2026-07-03 11:05:00;81.52;81.6;81.48;81.51
2026-07-03 11:00:00;81.4;81.53;81.33;81.49
2026-07-03 10:55:00;81.72;81.75;81.41;81.41
2026-07-03 10:50:00;81.32;81.78;81.24;81.72
2026-07-03 10:45:00;81.37;81.38;81.15;81.33
2026-07-03 10:40:00;81.17;81.47;81.14;81.36
2026-07-03 10:35:00;81.03;81.25;81.03;81.17
2026-07-03 10:30:00;81.06;81.09;80.98;81.02
2026-07-03 10:25:00;80.9;81.16;80.88;81.07
2026-07-03 10:20:00;80.82;80.98;80.78;80.91
2026-07-03 10:15:00;81;81;80.82;80.83
2026-07-03 10:10:00;80.98;81.19;80.95;81
2026-07-03 10:05:00;81.02;81.04;80.97;80.97
2026-07-03 10:00:00;80.93;81.05;80.92;81.02
2026-07-03 09:55:00;80.99;81.03;80.94;80.94
2026-07-03 09:50:00;81.01;81.04;80.94;80.98
2026-07-03 09:45:00;80.82;81.21;80.78;81.03
2026-07-03 09:40:00;80.64;80.81;80.6;80.81
2026-07-03 09:35:00;80.73;80.74;80.59;80.66
2026-07-03 09:30:00;80.86;80.86;80.72;80.72
2026-07-03 09:25:00;80.86;80.88;80.78;80.87
2026-07-03 09:20:00;80.92;80.96;80.86;80.87
2026-07-03 09:15:00;81;81.03;80.87;80.91
2026-07-03 09:10:00;80.91;81.01;80.85;81
2026-07-03 09:05:00;80.88;80.97;80.88;80.92
2026-07-03 09:00:00;80.83;80.92;80.7;80.87
2026-07-03 08:55:00;80.77;80.86;80.75;80.84
2026-07-03 08:50:00;81.03;81.03;80.75;80.75
2026-07-03 08:45:00;81.23;81.25;81.01;81.04
2026-07-03 08:40:00;81.01;81.43;80.99;81.24
2026-07-03 08:35:00;80.99;81.05;80.95;81.02
2026-07-03 08:30:00;80.95;81.04;80.87;80.99
2026-07-03 08:25:00;81.04;81.18;80.92;80.96
2026-07-03 08:20:00;81.05;81.06;80.98;81.03
2026-07-03 08:15:00;81.11;81.16;81.06;81.07
2026-07-03 08:10:00;81.1;81.14;81.07;81.09
2026-07-03 08:05:00;81.2;81.24;81.04;81.1
2026-07-03 08:00:00;81.15;81.25;81.12;81.19
2026-07-03 07:55:00;81.22;81.25;81.12;81.15
2026-07-03 07:50:00;81.32;81.42;81.21;81.22
2026-07-03 07:45:00;81.19;81.34;81.18;81.3
2026-07-03 07:40:00;81.08;81.24;81.08;81.19
2026-07-03 07:35:00;81.06;81.17;81.03;81.08
2026-07-03 07:30:00;81;81.12;80.94;81.04
2026-07-03 07:25:00;81;81.03;80.96;81.01
2026-07-03 07:20:00;80.95;81.02;80.92;81.01
2026-07-03 07:15:00;80.83;80.98;80.81;80.95
2026-07-03 07:10:00;80.87;80.87;80.75;80.81
2026-07-03 07:05:00;80.78;80.95;80.75;80.88
2026-07-03 07:00:00;80.89;80.94;80.76;80.77
2026-07-03 06:55:00;80.98;80.98;80.87;80.87
2026-07-03 06:50:00;80.83;81;80.8;80.98
2026-07-03 06:45:00;80.77;80.85;80.75;80.83
2026-07-03 06:40:00;80.69;80.84;80.67;80.76
